die_id,uv_time,uv_intensity,pin_speed,pin_pressure,pin_height,head_vacuum,pin_vacuum,temperature,humidity,vacuum_status,runtime_hours,tape_type,die_thickness,pickup_success
D000000,4.8,1206.0,1.02,26.0,0.54,-64.1,-49.3,22.9,46.0,-95.8,14.2,1.0,125.0,1
D000001,5.2,1148.0,1.09,28.5,0.49,,-50.6,25.0,45.0,-95.8,11.3,1.0,129.0,1
D000002,5.6,1094.0,1.45,39.0,0.7,-61.0,-50.8,28.2,32.0,-92.2,18.9,1.0,103.0,0
D000003,4.8,1211.0,,29.5,0.41,-64.7,-49.4,22.6,45.0,-96.6,12.3,0.0,131.0,1
D000004,4.8,1252.0,1.02,27.5,,-64.5,-49.4,24.0,47.0,-96.4,7.4,1.0,140.0,1
D000005,5.4,1155.0,1.27,26.5,0.5,-64.0,-51.1,25.6,45.0,-96.3,8.0,0.0,122.0,1
D000006,3.8,1357.0,1.3,32.0,0.41,-60.2,-52.9,27.6,56.0,-91.6,15.7,0.0,111.0,0
D000007,5.1,1259.0,1.1,27.5,0.52,-64.9,-50.3,24.3,42.0,-94.5,14.1,1.0,129.0,1
D000008,4.7,1189.0,1.08,26.5,0.47,-65.6,-51.1,25.0,42.0,-96.1,10.0,1.0,132.0,1
D000009,3.2,1359.0,0.93,36.5,0.45,-62.4,-46.8,26.2,57.0,-96.3,2.1,1.0,108.0,0
D000010,6.5,1319.0,1.43,23.0,0.37,-60.3,-52.3,25.0,50.0,-96.6,23.6,1.0,121.0,0
D000011,4.2,1364.0,1.41,23.5,0.68,-62.5,-49.0,22.6,57.0,-97.2,1.8,1.0,138.0,0
D000012,5.0,1180.0,1.04,29.0,0.44,-66.5,-49.9,23.6,,-96.3,5.9,0.0,129.0,1
D000013,4.8,1199.0,1.11,32.0,0.46,-66.0,-48.9,25.8,44.0,-95.4,6.6,0.0,133.0,1
D000014,4.5,1204.0,1.11,28.0,0.52,-66.2,-49.4,23.3,44.0,-94.1,10.1,0.0,132.0,0
D000015,3.7,1283.0,1.13,35.0,0.68,-60.8,-51.9,22.9,34.0,-98.5,4.2,1.0,130.0,1
D000016,5.1,1180.0,1.03,31.0,0.44,-65.3,-48.8,26.0,46.0,-95.0,6.7,0.0,124.0,1
D000017,4.4,1229.0,1.05,28.5,0.45,-63.7,-49.3,22.2,45.0,-96.0,11.6,1.0,128.0,1
D000018,5.1,1216.0,1.19,31.5,0.48,-64.0,-50.5,24.0,44.0,-96.0,7.3,0.0,127.0,1
D000019,4.5,1174.0,1.11,30.5,0.48,-65.6,-50.8,24.6,49.0,-96.4,9.1,0.0,130.0,1
D000020,4.8,1209.0,1.09,30.0,0.48,-67.7,-50.4,23.2,48.0,-96.5,10.7,0.0,134.0,1
D000021,5.6,1107.0,1.08,37.0,0.62,-65.5,-48.5,24.1,53.0,-92.3,12.1,1.0,106.0,0
D000022,5.4,1020.0,0.81,38.5,0.48,-65.0,-53.5,23.5,47.0,-91.0,14.7,1.0,121.0,1
D000023,5.0,1238.0,1.04,30.5,0.49,-66.7,-48.7,24.7,45.0,-96.4,11.5,1.0,132.0,1
D000024,4.6,1203.0,1.17,30.5,0.51,-66.0,-51.0,21.8,46.0,-96.4,9.0,1.0,120.0,1
D000025,7.0,1260.0,1.49,23.0,0.52,-61.0,-45.8,24.4,57.0,-93.0,4.2,1.0,104.0,0
D000026,5.2,1053.0,1.11,27.0,0.46,-65.0,-51.0,24.9,47.0,-95.6,7.7,0.0,120.0,1
D000027,6.5,1069.0,0.94,34.0,0.62,-64.6,-51.4,27.7,34.0,-92.9,17.7,1.0,104.0,1
D000028,5.0,1215.0,1.05,30.0,,-66.0,-48.7,23.9,46.0,-97.5,8.0,,120.0,0
D000029,4.4,1242.0,1.09,32.0,0.41,-64.5,-50.2,24.6,42.0,-96.0,12.0,1.0,129.0,0
D000030,5.3,1123.0,1.01,29.0,0.47,-66.3,-49.0,24.3,47.0,-96.4,10.3,0.0,130.0,1
D000031,5.1,1215.0,,28.0,0.5,-66.0,-49.2,24.2,45.0,-94.3,6.0,1.0,135.0,1
D000032,4.5,1032.0,1.2,35.5,0.51,-61.1,-52.7,26.8,57.0,-97.4,6.5,0.0,123.0,1
D000033,4.9,1166.0,1.1,21.5,0.5,-66.0,-50.5,22.2,50.0,-95.4,7.5,1.0,129.0,1
