die_id,uv_time,uv_intensity,pin_speed,pin_pressure,pin_height,head_vacuum,pin_vacuum,temperature,humidity,vacuum_status,runtime_hours,tape_type,die_thickness,pickup_success
D000000,3.7,1163.0,0.95,30.5,0.46,-65.4,-48.9,25.4,43.0,-96.2,9.5,1.0,125.0,0
D000001,5.7,1200.0,1.22,24.0,0.44,-63.1,-48.4,26.0,54.0,-91.2,6.9,1.0,135.0,1
D000002,5.7,1266.0,1.04,30.5,0.43,-63.7,-49.9,24.7,43.0,-96.1,9.3,0.0,142.0,1
D000003,6.4,1104.0,1.14,37.0,0.38,-69.9,-45.5,25.0,31.0,-90.4,17.5,0.0,146.0,1
D000004,5.9,1207.0,1.2,28.0,0.43,-64.0,-51.4,25.3,45.0,-95.9,6.7,0.0,133.0,1
D000005,4.5,1143.0,1.18,27.0,0.51,-65.1,-49.0,25.3,39.0,-95.7,10.8,1.0,122.0,0
D000006,4.7,1174.0,1.05,27.0,0.47,-64.8,-49.8,23.9,43.0,-94.3,8.9,1.0,130.0,1
D000007,4.7,1246.0,1.22,32.5,0.57,-67.3,-48.8,23.2,48.0,-94.9,13.5,1.0,133.0,1
D000008,3.9,1192.0,1.2,29.5,0.46,-67.0,-50.0,24.8,46.0,-95.1,8.7,1.0,127.0,0
D000009,5.1,1185.0,1.06,28.5,0.47,-66.7,-51.3,25.7,50.0,-94.0,9.5,0.0,129.0,1
D000010,6.3,1186.0,1.02,33.5,0.59,-60.7,-53.2,21.9,42.0,-98.8,13.7,0.0,140.0,1
D000011,5.2,1120.0,1.0,27.5,0.45,-66.5,-49.1,25.7,48.0,-93.6,12.3,0.0,132.0,1
D000012,5.4,1216.0,1.34,30.0,0.32,-65.6,-51.8,27.6,53.0,-99.4,17.5,1.0,118.0,0
D000013,4.8,1223.0,1.07,29.5,0.48,-64.7,-48.5,25.2,47.0,-95.6,8.0,1.0,130.0,0
D000014,5.6,1182.0,0.98,27.0,0.43,-66.5,-51.3,24.9,40.0,-94.2,7.5,1.0,126.0,1
D000015,5.5,1242.0,0.86,35.5,0.54,-69.4,-54.2,25.3,38.0,-97.0,5.5,1.0,122.0,1
D000016,4.1,1072.0,0.9,29.5,0.45,-66.8,-45.2,20.0,53.0,-93.5,16.9,1.0,102.0,0
D000017,3.3,1110.0,1.36,25.5,0.62,-64.1,-50.5,24.3,44.0,-90.2,9.9,0.0,147.0,0
D000018,3.9,1129.0,1.31,33.5,0.45,-68.8,-46.1,29.5,56.0,-91.2,2.2,0.0,122.0,0
D000019,5.1,1150.0,1.1,29.5,0.5,-64.7,-50.4,24.6,49.0,-97.0,8.7,1.0,116.0,0
D000020,6.6,1347.0,1.23,30.0,0.37,-63.5,-49.1,25.5,35.0,-93.2,14.6,0.0,132.0,1
D000021,4.1,1222.0,0.97,29.5,0.41,-64.0,-48.7,23.3,43.0,-95.4,8.2,0.0,122.0,1
D000022,4.8,1222.0,0.9,31.5,0.47,-66.6,-49.3,24.6,39.0,-96.2,10.3,0.0,128.0,1
D000023,5.2,1168.0,1.02,31.5,0.47,-65.3,-48.1,23.8,44.0,-94.0,8.0,0.0,123.0,1
D000024,4.8,1158.0,1.03,29.0,0.49,-66.3,-49.2,24.6,39.0,-95.8,3.8,1.0,128.0,1
D000025,5.9,1274.0,1.22,21.5,,-65.4,-45.6,22.9,55.0,-94.0,15.9,0.0,134.0,1
D000026,4.6,1131.0,1.18,31.5,0.45,-66.4,-49.7,24.9,41.0,-95.9,10.3,0.0,129.0,1
D000027,4.0,1173.0,1.12,28.5,0.5,-67.1,-50.0,24.3,43.0,-94.9,9.9,0.0,127.0,1
D000028,5.2,1215.0,1.1,28.5,0.41,-65.1,-50.1,24.0,40.0,-96.0,14.2,1.0,129.0,1
D000029,4.6,1216.0,1.17,29.0,0.41,-67.3,-50.8,24.7,43.0,,12.4,0.0,126.0,1
D000030,5.5,1173.0,1.35,36.0,0.38,-60.7,-46.6,27.3,39.0,-92.3,23.1,1.0,129.0,0
D000031,5.6,1146.0,1.0,27.5,0.58,-64.4,-50.7,22.7,46.0,-94.6,7.8,1.0,131.0,1
D000032,4.7,1213.0,1.0,28.0,0.44,,-49.2,25.4,39.0,-96.3,,0.0,126.0,1
D000033,4.9,1183.0,1.12,31.0,0.46,-67.4,-50.8,25.9,43.0,-95.9,10.1,1.0,127.0,1
D000034,5.3,1168.0,1.06,30.0,0.48,-66.3,-49.7,23.9,41.0,-96.0,8.6,1.0,121.0,1
D000035,5.9,1125.0,0.94,39.5,0.41,-63.6,-46.9,29.6,58.0,-99.9,16.5,0.0,148.0,0
D000036,5.3,1229.0,1.01,29.5,0.44,-66.6,-49.3,23.6,44.0,-95.4,9.8,0.0,126.0,1
D000037,3.2,1003.0,0.8,32.0,0.7,-64.7,-49.6,21.7,31.0,-97.4,2.7,1.0,138.0,0
D000038,4.8,1114.0,0.99,27.5,0.52,-65.7,-51.1,24.3,43.0,-94.5,8.2,0.0,131.0,1
D000039,4.6,1119.0,1.02,30.0,0.5,-67.1,-50.0,24.6,46.0,-95.7,5.2,0.0,120.0,1
D000040,4.8,1137.0,1.2,28.0,0.5,-66.1,-51.9,23.5,47.0,-96.0,6.7,0.0,,1
D000041,3.0,1241.0,1.35,37.0,0.5,-67.6,-49.1,24.5,36.0,-98.1,13.1,0.0,112.0,1
D000042,4.2,1214.0,1.23,28.5,0.45,-64.9,-51.6,24.8,44.0,-97.7,5.6,1.0,127.0,1
D000043,5.6,1077.0,1.13,27.5,0.53,-65.4,-51.0,25.0,43.0,-95.4,10.8,0.0,127.0,1
D000044,5.0,1175.0,1.19,29.5,0.47,-63.9,-49.2,23.1,45.0,-96.2,14.5,1.0,127.0,0
D000045,4.9,1163.0,1.14,28.0,0.46,-66.5,-51.4,24.1,42.0,-95.2,13.4,0.0,,1
D000046,4.4,1187.0,1.07,28.0,0.48,-66.6,-50.8,23.3,,-94.4,8.3,1.0,131.0,1
D000047,5.2,1300.0,1.05,28.0,0.53,-66.5,-50.1,23.3,44.0,-95.8,7.0,0.0,,1
D000048,3.3,1081.0,1.56,39.0,0.57,-62.3,-46.1,29.6,58.0,-94.0,19.5,1.0,148.0,0
D000049,5.2,1023.0,1.55,25.5,0.44,-68.0,-46.8,28.3,36.0,-90.5,1.3,1.0,131.0,0
D000050,5.1,1188.0,1.07,31.5,0.49,-66.3,-49.1,22.7,47.0,-95.0,9.1,1.0,135.0,1
D000051,5.1,1142.0,1.17,30.0,0.49,-63.1,-50.3,24.5,42.0,-96.7,11.9,0.0,129.0,0
D000052,3.4,1007.0,1.25,36.0,0.38,-60.5,-46.4,30.0,33.0,-93.0,10.2,0.0,121.0,0
D000053,6.0,1351.0,0.95,36.5,0.36,-65.7,-47.5,26.1,38.0,-95.0,18.2,1.0,108.0,1
D000054,5.6,1303.0,1.52,31.0,0.64,,-50.4,26.4,41.0,-93.5,9.7,1.0,119.0,0
D000055,4.2,1210.0,1.16,27.5,0.52,-64.7,-49.9,24.7,41.0,-94.0,8.1,1.0,123.0,1
D000056,4.8,1155.0,1.05,30.5,0.48,-65.7,-50.9,26.2,45.0,-94.8,11.1,1.0,126.0,1
D000057,5.0,1218.0,0.99,33.0,0.53,-63.8,-50.3,24.1,45.0,-94.1,9.4,1.0,131.0,1
D000058,5.8,1207.0,1.05,39.0,0.34,-65.8,-47.5,22.7,57.0,-95.8,11.6,1.0,130.0,1
D000059,4.0,1175.0,1.16,29.0,0.46,-65.9,-50.9,24.7,43.0,-96.8,8.1,0.0,129.0,1
D000060,4.6,1234.0,1.16,28.5,0.45,-65.7,-50.3,22.7,44.0,-95.5,,0.0,135.0,1
D000061,6.6,1286.0,1.16,21.5,0.32,-64.8,-46.8,27.6,44.0,-97.3,10.1,1.0,110.0,0
D000062,4.0,1202.0,1.04,30.0,0.39,-65.9,-50.0,24.6,45.0,-95.8,11.2,1.0,126.0,1
D000063,,1223.0,1.17,26.5,0.53,-69.3,-54.7,22.0,45.0,-95.4,,0.0,134.0,1
D000064,5.4,1144.0,1.1,28.0,0.49,-64.4,-48.7,23.8,41.0,-96.2,13.6,1.0,133.0,1
D000065,4.7,1173.0,1.21,28.0,0.45,-65.9,-50.2,25.6,44.0,-95.2,10.9,1.0,119.0,0
D000066,4.6,1207.0,1.02,33.5,0.43,-66.2,-49.4,23.9,43.0,-95.3,8.4,0.0,121.0,1
D000067,5.0,1179.0,1.09,28.5,0.49,-65.6,-50.5,23.2,47.0,-95.6,14.7,1.0,123.0,1
D000068,5.1,1191.0,0.85,29.5,0.56,-65.0,-48.7,26.1,42.0,-95.0,8.0,1.0,126.0,1
D000069,6.1,1201.0,1.1,31.5,0.41,-63.8,-50.1,24.2,43.0,-95.7,10.5,1.0,126.0,1
D000070,4.6,1172.0,1.04,26.5,0.48,-64.8,-50.3,24.3,41.0,-94.4,9.1,0.0,128.0,1
D000071,3.8,1382.0,1.14,22.5,0.61,-65.3,-48.5,22.7,50.0,-98.7,0.6,1.0,112.0,0
D000072,4.9,1153.0,1.21,29.0,0.43,-64.9,-48.8,24.8,,-94.5,11.8,1.0,121.0,1
D000073,5.4,1085.0,1.4,35.0,0.51,-61.4,-50.9,24.8,47.0,,7.9,0.0,137.0,1
D000074,4.8,1322.0,1.06,23.0,0.37,-63.8,-46.4,22.5,30.0,-98.5,6.0,0.0,143.0,1
D000075,4.1,1318.0,1.02,21.0,0.34,-60.6,-48.9,29.7,60.0,-93.9,9.7,1.0,131.0,0
D000076,6.1,1137.0,0.8,27.5,0.65,-62.9,-53.7,29.6,49.0,-98.2,5.4,1.0,129.0,0
D000077,6.0,1264.0,,22.0,0.66,-60.3,-51.7,21.1,47.0,-95.3,8.5,1.0,122.0,0
D000078,5.4,1119.0,1.09,25.0,0.45,-66.5,-50.9,24.0,45.0,-95.6,7.6,0.0,129.0,1
D000079,5.3,1011.0,0.85,26.5,0.52,-68.3,-49.1,24.1,56.0,-93.9,20.9,1.0,131.0,1
D000080,5.2,1154.0,1.1,27.5,0.48,-65.7,-49.7,25.4,44.0,-95.9,8.3,0.0,123.0,1
D000081,5.1,1178.0,1.17,25.5,0.49,-65.2,-49.5,22.5,41.0,-95.8,10.2,1.0,133.0,1
D000082,6.8,1034.0,1.4,34.5,0.62,-60.3,-52.7,26.3,55.0,-95.3,1.7,1.0,131.0,1
D000083,4.0,1331.0,0.87,30.5,0.63,-68.3,-53.4,26.7,39.0,-96.6,22.6,1.0,134.0,0
D000084,4.1,1046.0,1.14,32.5,0.41,-68.9,-51.7,25.9,48.0,-93.2,1.5,0.0,150.0,1
D000085,4.7,1168.0,1.06,29.0,0.58,-66.3,-49.9,24.4,43.0,-96.3,11.2,1.0,128.0,1
D000086,5.0,1158.0,1.11,29.5,0.41,-66.7,-49.9,24.8,42.0,-95.8,10.9,1.0,125.0,1
D000087,5.3,1132.0,1.22,29.0,0.5,-64.3,-50.4,23.5,44.0,-94.6,12.3,0.0,132.0,1
D000088,3.6,1357.0,1.02,25.5,0.36,-69.4,-48.6,22.0,51.0,-98.6,17.0,1.0,141.0,0
D000089,4.8,1150.0,1.15,28.5,0.58,-64.8,-49.4,23.6,39.0,-94.9,8.5,1.0,124.0,0
